01,021,00080,006176,Dhande Kalan (CT),4887
01,021,00080,006177,Maralia (CT),4327
01,021,00080,006178,Nihalpur Simbal (CT),3869
01,021,00081,800075,Bishna (MC),10719
01,021,00081,800076,Arnia (MC),8948
01,022,00082,800077,Bari Brahamana (MC),15453
01,022,00082,800078,Vijay Pur (MC),8044
01,022,00082,800079,Samba (MC),12700
01,022,00082,800080,Ramgarh (MC),5612
01,022,00082,006671,Gorah Salathian (CT),4629
01,022,00082,006672,Birpur (CT),7177
02,023,00087,800087,Dalhousie (CB),3549
02,023,00087,800088,Dalhousie (M Cl),7051
02,023,00088,800089,Bakloh (CB),1805
02,023,00088,800090,Chuari Khas (NP),3770
02,023,00090,800091,Chamba (M Cl),19933
02,024,00093,800092,Nurpur (M Cl),9807
02,024,00094,008799,Indora (CT),4534
02,024,00099,800093,Dharmsala (M Cl + OG),30764
02,024,00099,800093,Dharmsala (M Cl),22579
02,024,00099,800094,Yol (CB),12028
02,024,00100,800095,Kangra (M Cl),9528
02,024,00101,800096,Nagrota Bagwan (M Cl),5900
02,024,00103,800097,Dera Gopipur (NP),4816
02,024,00104,800098,Jawalamukhi (NP),5361
02,024,00111,800099,Palampur (M Cl),3543
02,026,00117,800100,Manali (M Cl),8096
02,026,00118,800101,Kullu (M Cl),18536
02,026,00118,800102,Bhuntar (NP),4475
02,026,00118,012896,Shamshi (CT),8870
02,026,00120,800103,Banjar (NP),1414
02,027,00124,800104,Jogindarnagar (NP),5335
02,027,00129,800105,Sarkaghat (NP),4715
02,027,00132,800106,Sundarnagar (M Cl),24344
02,027,00133,800107,Mandi (M Cl),26422
02,027,00133,800108,Rawalsar (NP),1821
02,028,00140,800109,Tira Sujanpur (NP),7943
02,028,00141,800110,Nadaun (NP),4430
02,028,00143,800111,Hamirpur (M Cl),17604
02,028,00144,800112,Bhota (NP),1453
02,029,00148,800113,Daulatpur (NP),3763
02,029,00148,800114,Gagret (NP),3847
02,029,00150,800115,Una (M Cl),18722
02,029,00150,800116,Mehatpur Basdehra (NP),9218
02,029,00150,800117,Santokhgarh (NP),9363
02,030,00152,800118,Ghumarwin (M Cl),7899
02,030,00154,800119,Talai (NP),2372
02,030,00155,800120,Naina Devi (M Cl),1204
02,030,00156,800121,Bilaspur (M Cl),13654
02,031,00158,800122,Arki (NP),3040
02,031,00161,800123,Nalagarh (M Cl),10708
02,031,00162,800124,Baddi (M Cl + OG),29911
02,031,00162,800124,Baddi (M Cl),25639
02,031,00164,800125,Kasauli (CB),3885
02,031,00164,800126,Parwanoo (M Cl),8758
02,031,00165,800127,Dagshai (CB),2904
02,031,00165,800128,Solan (M Cl),39256
02,031,00165,800129,Sabathu (CB),3685
02,032,00167,800130,Rajgarh (NP),3083
02,032,00172,800131,Nahan (M Cl),28899
02,032,00173,800132,Paonta Sahib (M Cl),25183
02,033,00177,800133,Rampur (M Cl),5655
02,033,00177,023702,Jhakhri (CT),4655
02,033,00179,800134,Narkanda (NP),901
02,033,00180,800135,Seoni (NP),2591
02,033,00181,800136,Jutogh (CB),2062
02,033,00182,800137,Shimla (M Corp.),169578
02,033,00184,800138,Theog (M Cl),4353
02,033,00185,800139,Chaupal (NP) ,1851
02,033,00188,800140,Jubbal (NP),1640
02,033,00189,800141,Kotkhai (NP),1190
02,033,00191,800142,Rohru (M Cl),6875
03,035,00200,027401,Kot (CT),5406
03,035,00201,800143,Sujanpur (M Cl),28270
03,035,00201,800144,Pathankot (M Cl + OG),156306
03,035,00201,800144,Pathankot (M Cl),148937
03,035,00201,027772,Jugial (CT),15210
03,035,00201,027773,Ghoh (CT),6883
03,035,00201,027774,Bungal (CT),5257
03,035,00201,027775,Daulatpur (CT),12988
03,035,00201,027776,Mamun (CT),32689
03,035,00201,027777,Dhaki (CT),4203
03,035,00201,027778,Manwal (CT),6496
03,035,00201,027779,Sarna (CT),5847
03,035,00201,027780,Malikpur (CT),4645
03,035,00201,027781,Tharial (CT),5081
03,035,00201,027782,Narot Mehra (CT),8885
03,035,00202,800145,Dina Nagar (M Cl),23976
03,035,00202,800146,Gurdaspur (M Cl + OG),77928
03,035,00202,800146,Gurdaspur (M Cl),75549
03,035,00202,800147,Dhariwal (M Cl),16772
03,035,00202,028501,Behrampur (CT),5432
03,035,00202,028502,Baryar (CT),3520
03,035,00202,028503,Tibri (CT),11845
03,035,00202,028504,Fateh Nangal (CT),7721
03,035,00203,800148,Fatehgarh Churian (M Cl),13070
03,035,00203,800149,Batala (M Cl + OG),158621
03,035,00203,800149,Batala (M Cl),156619
03,035,00203,800150,Qadian (M Cl + OG),23632
03,035,00203,800150,Qadian (M Cl),21899
03,035,00203,800151,Sri Hargobindpur (M Cl),8241
03,035,00204,800152,Dera Baba Nanak (M Cl),6394
03,035,00204,028993,Shikar (CT),4001
03,036,00205,800153,Bhulath (NP),10548
03,036,00205,800154,Begowal (NP),10116
03,036,00206,800155,Kapurthala (M Cl),98916
03,036,00206,800156,Dhilwan (NP),8157
03,036,00206,029355,Hussainpur (CT)  ,15575
03,036,00207,800157,Sultanpur (M Cl),16877
03,036,00208,800158,Phagwara (M Cl),97864
03,036,00208,029683,Phagwara Sharki (CT),20102
03,036,00208,029684,Chachoki (CT),4307
03,037,00209,800159,Lohian Khass (NP),10362
03,037,00209,800160,Shahkot (NP),14488
03,037,00210,800161,Nakodar (M Cl),36973
03,037,00211,800162,Goraya (NP),16462
03,037,00211,800163,Phillaur (M Cl),24688
03,037,00211,800164,Nurmahal (M Cl),14560
03,037,00211,030247,Apra (CT),6258
03,037,00211,030248,Jandiala (CT),8487
03,037,00212,800165,Jalandhar Cantt. (CB),47845
03,037,00212,800166,Jalandhar (M Corp. + OG) (Part),868181
03,037,00212,800166,Jalandhar (M Corp.),862886
03,037,00212,800167,Alawalpur (M Cl),7815
03,037,00212,800168,Adampur (M Cl),20922
03,037,00212,030387,Sufipind (CT),9406
03,037,00212,030388,Dhin (CT),5961
03,037,00212,030389,Khambra (CT) ,5483
03,037,00212,030390,Sansarpur (CT),4657
03,037,00212,030391,Chomon (CT),3704
03,037,00213,800166,Jalandhar (M Corp. + OG) (Part),748
03,037,00213,800169,Kartarpur (M Cl),25662
03,037,00213,800170,Bhogpur (NP),17549
03,037,00213,030635,Raipur Rasulpur (CT),3916
03,037,00213,030636,Sarai Khas (CT),7044
03,038,00214,800171,Urmar Tanda (M Cl),23419
