State Code, District Code, District, Population
10,224,Bhagalpur,3037766
10,225,Banka,2034763
10,226,Munger,1367765
10,227,Lakhisarai,1000912
10,228,Sheikhpura,636342
10,229,Nalanda,2877653
10,230,Patna,5838465
10,231,Bhojpur,2728407
10,232,Buxar,1706352
10,233,Kaimur (Bhabua),1626384
10,234,Rohtas,2959918
10,235,Aurangabad,2540073
10,236,Gaya,4391418
10,237,Nawada,2219146
10,238,Jamui,1760405
10,239,Jehanabad ,1125313
10,240,Arwal,700843
11,241,North  District,43709
11,242,West District,136435
11,243,South District,146850
11,244,East District,283583
12,245,Tawang,49977
12,246,West Kameng,83947
12,247,East Kameng,78690
12,248,Papum Pare,176573
12,249,Upper Subansiri,83448
12,250,West Siang,112274
12,251,East Siang,99214
12,252,Upper Siang,35320
12,253,Changlang,148226
12,254,Tirap,111975
12,255,Lower Subansiri,83030
12,256,Kurung Kumey,92076
12,257,Dibang Valley,8004
12,258,Lower Dibang Valley,54080
12,259,Lohit,145726
12,260,Anjaw,21167
13,261,Mon,250260
13,262,Mokokchung,194622
13,263,Zunheboto,140757
13,264,Wokha,166343
13,265,Dimapur ,378811
13,266,Phek,163418
13,267,Tuensang,196596
13,268,Longleng,50484
13,269,Kiphire,74004
13,270,Kohima,267988
13,271,Peren,95219
14,272,Senapati,479148
14,273,Tamenglong ,140651
14,274,Churachandpur,274143
14,275,Bishnupur,237399
14,276,Thoubal,422168
14,277,Imphal West,517992
14,278,Imphal East,456113
14,279,Ukhrul,183998
14,280,Chandel,144182
15,281,Mamit,86364
15,282,Kolasib,83955
15,283,Aizawl,400309
15,284,Champhai,125745
15,285,Serchhip,64937
15,286,Lunglei,161428
15,287,Lawngtlai,117894
15,288,Saiha,56574
16,289,West Tripura ,1725739
16,290,South Tripura ,876001
16,291,Dhalai,378230
16,292,North Tripura,693947
17,293,West Garo Hills,643291
17,294,East Garo Hills,317917
17,295,South Garo Hills,142334
17,296,West Khasi Hills,383461
17,297,Ribhoi,258840
17,298,East Khasi Hills,825922
17,299,Jaintia Hills,395124
18,300,Kokrajhar,887142
18,301,Dhubri,1949258
18,302,Goalpara,1008183
18,303,Barpeta,1693622
18,304,Morigaon,957423
18,305,Nagaon,2823768
18,306,Sonitpur,1924110
18,307,Lakhimpur,1042137
18,308,Dhemaji,686133
18,309,Tinsukia,1327929
18,310,Dibrugarh,1326335
18,311,Sivasagar,1151050
18,312,Jorhat,1092256
18,313,Golaghat,1066888
18,314,Karbi Anglong,956313
18,315,Dima Hasao,214102
18,316,Cachar,1736617
18,317,Karimganj,1228686
18,318,Hailakandi,659296
18,319,Bongaigaon,738804
18,320,Chirang,482162
18,321,Kamrup,1517542
18,322,Kamrup Metropolitan,1253938
18,323,Nalbari,771639
18,324,Baksa,950075
18,325,Darrang,928500
18,326,Udalguri,831668
19,327,Darjiling ,1846823
19,328,Jalpaiguri ,3872846
19,329,Koch Bihar ,2819086
19,330,Uttar Dinajpur,3007134
19,331,Dakshin Dinajpur,1676276
19,332,Maldah ,3988845
19,333,Murshidabad ,7103807
19,334,Birbhum,3502404
19,335,Barddhaman ,7717563
19,336,Nadia ,5167600
19,337,North Twenty Four Parganas,10009781
19,338,Hugli ,5519145
19,339,Bankura ,3596674
19,340,Puruliya,2930115
19,341,Haora ,4850029
19,342,Kolkata,4496694
19,343,South Twenty Four Parganas,8161961
