State,District,Level,Name,TOT_P
33,623,DISTRICT,Madurai,3038252
33,624,DISTRICT,Theni  ,1245899
33,625,DISTRICT,Virudhunagar,1942288
33,626,DISTRICT,Ramanathapuram,1353445
33,627,DISTRICT,Thoothukkudi,1750176
33,628,DISTRICT,Tirunelveli ,3077233
33,629,DISTRICT,Kanniyakumari,1870374
33,630,DISTRICT,Dharmapuri,1506843
33,631,DISTRICT,Krishnagiri,1879809
33,632,DISTRICT,Coimbatore,3458045
33,633,DISTRICT,Tiruppur,2479052
34,000,STATE,PUDUCHERRY,1247953
34,634,DISTRICT,Yanam,55626
34,635,DISTRICT,Puducherry,950289
34,636,DISTRICT,Mahe,41816
34,637,DISTRICT,Karaikal,200222
35,000,STATE,ANDAMAN & NICOBAR ISLANDS,380581
35,638,DISTRICT,Nicobars,36842
35,639,DISTRICT,North  & Middle Andaman,105597
35,640,DISTRICT,South Andaman,238142
