State,District,Level,Name,TOT_P
09,143,DISTRICT,Aligarh,3673889
09,144,DISTRICT,Mahamaya Nagar,1564708
09,145,DISTRICT,Mathura,2547184
09,146,DISTRICT,Agra,4418797
09,147,DISTRICT,Firozabad,2498156
09,148,DISTRICT,Mainpuri,1868529
09,149,DISTRICT,Budaun,3681896
09,150,DISTRICT,Bareilly,4448359
09,151,DISTRICT,Pilibhit,2031007
09,152,DISTRICT,Shahjahanpur,3006538
09,153,DISTRICT,Kheri,4021243
09,154,DISTRICT,Sitapur,4483992
09,155,DISTRICT,Hardoi,4092845
09,156,DISTRICT,Unnao,3108367
09,157,DISTRICT,Lucknow,4589838
09,158,DISTRICT,Rae Bareli,3405559
09,159,DISTRICT,Farrukhabad,1885204
09,160,DISTRICT,Kannauj,1656616
09,161,DISTRICT,Etawah,1581810
09,162,DISTRICT,Auraiya,1379545
09,163,DISTRICT,Kanpur Dehat,1796184
09,164,DISTRICT,Kanpur Nagar,4581268
09,165,DISTRICT,Jalaun ,1689974
09,166,DISTRICT,Jhansi,1998603
09,167,DISTRICT,Lalitpur,1221592
09,168,DISTRICT,Hamirpur,1104285
09,169,DISTRICT,Mahoba,875958
09,170,DISTRICT,Banda,1799410
09,171,DISTRICT,Chitrakoot,991730
09,172,DISTRICT,Fatehpur,2632733
09,173,DISTRICT,Pratapgarh,3209141
09,174,DISTRICT,Kaushambi,1599596
09,175,DISTRICT,Allahabad ,5954391
09,176,DISTRICT,Bara Banki,3260699
09,177,DISTRICT,Faizabad,2470996
09,178,DISTRICT,Ambedkar Nagar,2397888
09,179,DISTRICT,Sultanpur,3797117
09,180,DISTRICT,Bahraich,3487731
09,181,DISTRICT,Shrawasti,1117361
09,182,DISTRICT,Balrampur,2148665
09,183,DISTRICT,Gonda,3433919
09,184,DISTRICT,Siddharthnagar,2559297
09,185,DISTRICT,Basti,2464464
09,186,DISTRICT,Sant Kabir Nagar,1715183
09,187,DISTRICT,Mahrajganj,2684703
09,188,DISTRICT,Gorakhpur,4440895
09,189,DISTRICT,Kushinagar,3564544
09,190,DISTRICT,Deoria,3100946
09,191,DISTRICT,Azamgarh,4613913
09,192,DISTRICT,Mau,2205968
09,193,DISTRICT,Ballia,3239774
09,194,DISTRICT,Jaunpur,4494204
09,195,DISTRICT,Ghazipur,3620268
09,196,DISTRICT,Chandauli,1952756
09,197,DISTRICT,Varanasi,3676841
09,198,DISTRICT,Sant Ravidas Nagar (Bhadohi),1578213
09,199,DISTRICT,Mirzapur,2496970
09,200,DISTRICT,Sonbhadra,1862559
09,201,DISTRICT,Etah,1774480
09,202,DISTRICT,Kanshiram Nagar,1436719
10,000,STATE,BIHAR,104099452
10,203,DISTRICT,Pashchim Champaran,3935042
10,204,DISTRICT,Purba Champaran,5099371
10,205,DISTRICT,Sheohar,656246
