State,District,City,Population
Uttar Pradesh,Fatehpur,Fatehpur,193193
Uttar Pradesh,Allahabad,Allahabad,1168385
Uttar Pradesh,Faizabad,Faizabad,165228
Uttar Pradesh,Ambedkar Nagar,Akbarpur,111447
Uttar Pradesh,Sultanpur,Sultanpur,107640
Uttar Pradesh,Bahraich,Bahraich,186223
Uttar Pradesh,Gonda,Gonda,114046
Uttar Pradesh,Basti,Basti,114657
Uttar Pradesh,Gorakhpur,Gorakhpur,673446
Uttar Pradesh,Deoria,Deoria,129479
Uttar Pradesh,Azamgarh,Azamgarh,110983
Uttar Pradesh,Mau,Maunath Bhanjan,278745
Uttar Pradesh,Ballia,Ballia,104424
Uttar Pradesh,Jaunpur,Jaunpur,180362
Uttar Pradesh,Ghazipur,Ghazipur,121020
Uttar Pradesh,Chandauli,Mughalsarai,109650
Uttar Pradesh,Varanasi,Varanasi,1198491
Uttar Pradesh,Mirzapur,Mirzapur,234871
Uttar Pradesh,Etah,Etah,118517
Uttar Pradesh,Kanshiram Nagar,Kasganj,101277
Bihar,Pashchim Champaran,Bagaha (Nagar Parishad),112634
Bihar,Pashchim Champaran,Bettiah (Nagar Parishad),132209
Bihar,Purba Champaran,Motihari (Nagar Parishad),126158
Bihar,Kishanganj,Kishanganj (Nagar Parishad),105782
Bihar,Purnia,Purnia,282248
Bihar,Katihar,Katihar,240838
Bihar,Saharsa,Saharsa (Nagar Parishad),156540
Bihar,Darbhanga,Darbhanga,296039
Bihar,Muzaffarpur,Muzaffarpur,354462
Bihar,Siwan,Siwan (Nagar Parishad),135066
Bihar,Saran,Chapra (Nagar Parishad),202352
Bihar,Vaishali,Hajipur (Nagar Parishad),147688
Bihar,Begusarai,Begusarai,252008
Bihar,Bhagalpur,Bhagalpur,400146
Bihar,Munger,Munger,213303
Bihar,Munger,Jamalpur (Nagar Parishad),105434
Bihar,Nalanda,Biharsharif,297268
Bihar,Patna,Dinapur Nizamat (Nagar Parishad),182429
Bihar,Patna,Patna,1684297
Bihar,Bhojpur,Arrah,261430
Bihar,Buxar,Buxar (Nagar Parishad),102861
Bihar,Rohtas,Sasaram (Nagar Parishad),147408
