State,District,City,Population,Area (in km^2),Latitude,Longitude
Uttar Pradesh,Meerut,Meerut,1305429,929,28.98,77.71
Uttar Pradesh,Baghpat,Baraut,103764,731,29.17,77.43
Uttar Pradesh,Ghaziabad,Modinagar,130325,263,28.84,77.58
Uttar Pradesh,Ghaziabad,Loni,516082,35,28.75,77.28
Uttar Pradesh,Ghaziabad,Ghaziabad,1648643,457,28.67,77.45
Uttar Pradesh,Ghaziabad,Khora,190005,10,28.37,77.2
Uttar Pradesh,Ghaziabad,Hapur,262983,378,28.73,77.78
Uttar Pradesh,Gautam Buddha Nagar,Noida,637272,203,28.57,77.32
Uttar Pradesh,Gautam Buddha Nagar,Greater Noida,102054,0,28.47,77.5
Uttar Pradesh,Bulandshahr,Bulandshahr,230024,753,28.41,77.85
Uttar Pradesh,Bulandshahr,Khurja,121207,684,28.25,77.85
Uttar Pradesh,Aligarh,Aligarh,874408,0,27.9,78.07
Uttar Pradesh,Mahamaya Nagar,Hathras,143020,492,27.6,78.05
Uttar Pradesh,Mathura,Mathura,349909,1078,27.49,77.67
Uttar Pradesh,Agra,Agra,1585704,543,27.18,78.01
Uttar Pradesh,Firozabad,Firozabad,604214,451,27.16,78.4
Uttar Pradesh,Firozabad,Shikohabad,107404,750,27.11,78.58
Uttar Pradesh,Mainpuri,Mainpuri,136557,1015,27.23,79.02
Uttar Pradesh,Budaun,Budaun,159285,1161,28.03,79.12
Uttar Pradesh,Bareilly,Bareilly,904797,728,28.35,79.4
Uttar Pradesh,Pilibhit,Pilibhit,127988,1047,28.63,79.8
Uttar Pradesh,Shahjahanpur,Shahjahanpur,329736,1042,27.88,79.91
Uttar Pradesh,Kheri,Lakhimpur,151993,1474,27.95,80.78
Uttar Pradesh,Sitapur,Sitapur,177234,848,27.58,80.66
Uttar Pradesh,Hardoi,Hardoi,197029,1585,27.4,80.13
Uttar Pradesh,Unnao,Unnao,177658,1001,26.54,80.49
Uttar Pradesh,Lucknow,Lucknow,2817105,938,26.85,80.95
Uttar Pradesh,Rae Bareli,Rae Bareli,191316,50,26.36,81.4
Uttar Pradesh,Farrukhabad,Farrukhabad,276581,886,27.39,79.59
Uttar Pradesh,Etawah,Etawah,256838,645,26.81,79
Uttar Pradesh,Kanpur Nagar,Kanpur,2768057,1122,26.45,80.33
Uttar Pradesh,Jalaun,Orai,190575,927,25.98,79.47
Uttar Pradesh,Jhansi,Jhansi,505693,1185,25.44,78.57
Uttar Pradesh,Lalitpur,Lalitpur,133305,1834,24.69,78.41
Uttar Pradesh,Banda,Banda,160473,443,25.5,80.3
Uttar Pradesh,Fatehpur,Fatehpur,193193,1632,25.92,80.81
Uttar Pradesh,Allahabad,Allahabad,1168385,305,25.47,81.88
Uttar Pradesh,Faizabad,Faizabad,165228,425,26.77,82.15
Uttar Pradesh,Ambedkar Nagar,Akbarpur,111447,609,26.43,82.53
Uttar Pradesh,Sultanpur,Sultanpur,107640,767,26.26,82.07
Uttar Pradesh,Bahraich,Bahraich,186223,870,27.57,81.6
Uttar Pradesh,Gonda,Gonda,114046,1175,27.13,81.96
Uttar Pradesh,Basti,Basti,114657,829,26.82,82.76
Uttar Pradesh,Gorakhpur,Gorakhpur,673446,840,26.77,83.36
Uttar Pradesh,Deoria,Deoria,129479,927,26.5,83.78
Uttar Pradesh,Azamgarh,Azamgarh,110983,579,26.07,83.19
Uttar Pradesh,Mau,Maunath Bhanjan,278745,512,25.93,83.33
Uttar Pradesh,Ballia,Ballia,104424,804,25.76,84.15
Uttar Pradesh,Jaunpur,Jaunpur,180362,711,25.75,82.7
Uttar Pradesh,Ghazipur,Ghazipur,121020,678,25.58,83.58
Uttar Pradesh,Chandauli,Mughalsarai,109650,0,25.3,83.12
Uttar Pradesh,Varanasi,Varanasi,1198491,840,25.32,82.99
Uttar Pradesh,Mirzapur,Mirzapur,234871,1160,25.13,82.56
Uttar Pradesh,Etah,Etah,118517,1250,27.56,78.66
Uttar Pradesh,Kanshiram Nagar,Kasganj,101277,591,27.8,78.63
Bihar,Pashchim Champaran,Bagaha (Nagar Parishad),112634,0,27.13,84.07
Bihar,Pashchim Champaran,Bettiah (Nagar Parishad),132209,0,26.8,84.5
Bihar,Purba Champaran,Motihari (Nagar Parishad),126158,122,26.6,84.9
Bihar,Kishanganj,Kishanganj (Nagar Parishad),105782,0,26.06,87.9
Bihar,Purnia,Purnia,282248,92,25.77,87.47
Bihar,Katihar,Katihar,240838,115,25.53,87.58
Bihar,Saharsa,Saharsa (Nagar Parishad),156540,1687,25.88,86.6
Bihar,Darbhanga,Darbhanga,296039,196,26.15,85.9
Bihar,Muzaffarpur,Muzaffarpur,354462,93,26.12,85.37
Bihar,Siwan,Siwan (Nagar Parishad),135066,69,26.22,84.36
Bihar,Saran,Chapra (Nagar Parishad),202352,0,25.78,84.71
Bihar,Vaishali,Hajipur (Nagar Parishad),147688,20,25.68,85.22
Bihar,Begusarai,Begusarai,252008,224,25.42,86.13
Bihar,Bhagalpur,Bhagalpur,400146,342,25.25,86.99
Bihar,Munger,Munger,213303,259,25.38,86.47
Bihar,Munger,Jamalpur (Nagar Parishad),105434,0,0,0
Bihar,Nalanda,Biharsharif,297268,152.94,25.18,85.52
Bihar,Patna,Dinapur Nizamat (Nagar Parishad),182429,0,25.63,85.05
Bihar,Patna,Patna,1684297,99,25.61,85.16
Bihar,Bhojpur,Arrah,261430,191,25.56,84.66
Bihar,Buxar,Buxar (Nagar Parishad),102861,0,25.56,83.98
Bihar,Rohtas,Sasaram (Nagar Parishad),147408,0,24.95,84.03
Bihar,Rohtas,Dehri (Nagar Parishad),137231,0,24.91,84.18
Bihar,Aurangabad,Aurangabad (Nagar Parishad),102244,1420,24.7,84.35
Bihar,Gaya,Gaya,474093,0,24.78,84.98
Bihar,Jehanabad,Jehanabad (Nagar Parishad),103202,0,25.21,84.98
Sikkim,East District,Gangtok,100286,563,27.34,88.61
Nagaland,Dimapur,Dimapur,122834,121,25.91,93.73
Manipur,Imphal West,Imphal,193459,0,24.81,93.95
Mizoram,Aizawl,Aizawl,293416,457,23.73,92.72
Tripura,West Tripura,Agartala,400004,76.504,23.83,91.28
Meghalaya,East Khasi Hills,Shillong,143229,64.36,25.57,91.88
Assam,Nagaon,Nagaon,121628,362,26.35,92.67
Assam,Tinsukia,Tinsukia,116322,853,27.5,95.37
Assam,Dibrugarh,Dibrugarh,144063,12.65,27.47,94.91
Assam,Cachar,Silchar,178865,871,24.83,92.78
Assam,Kamrup Metropolitan,Guwahati,963429,100,26.15,91.73
West Bengal,Darjiling,Darjiling,118805,10.57,27.05,88.27
West Bengal,Darjiling,Siliguri,509709,260,26.73,88.41
West Bengal,Jalpaiguri,Dabgram,119040,0,0,0
West Bengal,Jalpaiguri,Jalpaiguri,107341,502,26.54,88.72
West Bengal,Uttar Dinajpur,Raiganj,183612,488,25.62,88.13
West Bengal,Dakshin Dinajpur,Balurghat,153279,355,25.24,88.78
West Bengal,Murshidabad,Berhampore,195223,278,24.1,88.27
West Bengal,Barddhaman,Kulti,313809,0,23.73,86.85
West Bengal,Barddhaman,Asansol,563917,326.48,23.67,86.95
West Bengal,Barddhaman,Jamuria,149220,134,23.7,87.08
West Bengal,Barddhaman,Raniganj,129441,81,23.63,87.09
West Bengal,Barddhaman,Durgapur,566517,154.2,23.53,87.32
West Bengal,Barddhaman,Barddhaman,314265,0,23.23,87.87
West Bengal,Nadia,Nabadwip,125543,93,23.41,88.37
West Bengal,Nadia,Krishnanagar,153062,26,23.4,88.5
